"global_turn_id";"query";"target_answer";"alex_answer";"step_text";"recipe_title";"is_ingredient_list";"gpt-3"
"31_27";"what should I score it with?";"sharp paring knife.";"The carrot/mushroom roll is best gently scored with a sharp paring knife.";"Place the existing carrot/mushroom roll on top and roll up to secure. Set aside. Lay out a fresh sheet of phyllo and brush with olive oil. Place roll on top and roll up. Repeat, adding more layers of phyllo and olive oil until all of the phyllo is used up. Transfer roll, seam-side down, to a parchment-lined rimmed baking sheet. Brush with more olive oil, sprinkle with coarse sea salt, and score gently with a sharp paring knife at 1-inch intervals all the way across the top.";"Vegetables Wellington (The Ultimate Vegan Plant-Based Holiday Roast) Recipe";"False";"Gently score the top of the carrot/mushroom roll with a sharp paring knife at 1-inch intervals all the way across."
"77_7";"how long should I leave it on the heat?";"about 10 minutes.";"The Dutch oven should be left on high heat until the liquid has evaporated, about 10 minutes.";"Return Dutch oven to high heat and cook, stirring, until most of the liquid has evaporated from the pan, about 10 minutes longer.";"The Best Slow-Cooked Bolognese Sauce Recipe";"False";"Cook the Dutch oven on high heat for about 10 minutes, stirring occasionally, until most of the liquid has evaporated."
"74_3";"how long should I leave the chilies in the hot water?";"30 minutes.";"Let the bowl with the chilies stand for 30 minutes.";"For the Chili Gravy: Heat a heavy 12-inch cast iron skillet over medium heat. Cut all the chilies open along one side, so that they can be laid flat. Working in batches, cook chilies in the skillet, pressing down with a spatula, until lightly toasted and fragrant, about 5 seconds on each side; be careful not to let chilies burn. Transfer to a large bowl and cover chilies with hot water, setting a small plate on top to keep them submerged. Let stand 30 minutes.";"Tex-Mex Cheese Enchiladas With Red Chili Gravy Recipe";"False";"Allow the chilies to soak in the hot water for 30 minutes."
"85_7";"how long do I leave the dryer to rest?";"for 15 minutes.";"Let the dryer rest for 15 minutes.";"Transfer dough in one piece to a lightly floured work surface. Using a bench knife, divide dough in half and shape each portion into a ball. Dust the tops of the dough balls with flour, cover with a towel, and let rest for 15 minutes.";"Simple Crusty White Bread Recipe";"False";"Allow the dough to rest for 15 minutes before continuing."
"92_28";"what should feel warm in the hot water?";"pan.";"The pan with the cheesecake should feel warm when standing in hot water.";"Unmolding the Cheesecake From a Traditional Cake Pan: Loosen the sides of the cheesecake from the pan with a thin knife or offset spatula. Stand the cake in a few inches of scalding hot water until the pan feels warm (a roasting pan works well for this). Drape the cake in plastic wrap to protect its surface, then invert onto a large, flat plate, and lift the pan to pull it away. It should slide free without any resistance; if not, continue standing in hot water a few minutes more. After removing the pan, peel the parchment from the crust, and re-invert the cheesecake onto a serving plate. Cover with plastic and refrigerate until needed, up to 10 days.";"Epic New York Cheesecake From BraveTart Recipe";"False";"A roasting pan should feel warm in the hot water."
"17_5";"what do I need add with the cayenne under the half of spice mixture?";"cashews.";"You need to add cshews to the pan along with these ingredients.";"Heat oil, butter, or ghee in a large saucepan over medium-high heat until melted (or until oil is shimmering). Add onion, garlic, ginger, and chili. Cook, stirring frequently, and scraping bottom of pan until golden brown and starting to burn in spots, about 10 minutes. Add cayenne, cashews, and half of spice mixture. Cook, stirring constantly until fragrant, about 30 seconds. Add coconut milk and remove from heat. Scrape up any browned bits from bottom of pan.";"Chickpea, Coconut, and Cashew Curry Recipe";"False";"Add cashews to the saucepan along with the cayenne and half of the spice mixture when cooking the onion, garlic, ginger, and chili."
"69_16";"what am I cooking for 8 minutes?";"rice and chicken mixture.";"First you need to cook the mixture for 8 minutes without stirring. After seasoning the shrimp, continue cooking the rice and chicke misture about 8 minutes longer. The rice should be al dente then.";"Cook for 8 minutes without stirring, then season shrimp with salt and nestle around the chicken thighs. Continue cooking until the rice is just al dente and the liquid has fully been absorbed, about 8 minutes longer; turn the shrimp during this time to cook them until pink on both sides. Reduce heat to low at any point to prevent scorching on bottom (though browned and crispy rice on the bottom is desirable).";"Stovetop Paella Mixta for Two With Chicken and Shrimp Recipe";"False";"I am cooking a rice and chicken mixture with shrimp for 8 minutes, without stirring, until the rice is al dente and the liquid has been absorbed. The shrimp will be salted and cooked until pink on both sides. The heat should be reduced to low at any point to prevent scorching on the bottom."
"43_7";"does it have to be a full minute?";"about 1 minute.";"No, you should cook it about 1 minute.";"Add mushrooms and cook, stirring, until lightly sautéed and fragrant, about 1 minute.";"Roman-Style Spaghetti Alla Carrettiera (Tomato, Tuna, and Mushroom Pasta) Recipe";"False";"It does not have to be a full minute, but it should be around 1 minute."
"31_31";"what should I drizzle?";"stock.";"While whisking constantly, you should slowly drizzle in the stock.";"For the Gravy: While roast is baking, make the gravy. Combine 3 tablespoons olive oil and flour in a medium saucepan over medium-high heat and cook, stirring constantly with a whisk until flour is nutty brown, about 3 minutes. Whisking constantly, slowly drizzle in stock. Add soy sauce, thyme sprigs, and bay leaves. Bring to a boil, reduce to a simmer, and cook until thickened and reduced to 3 cups, about 20 minutes. Season to taste with salt and lots of black pepper.";"Vegetables Wellington (The Ultimate Vegan Plant-Based Holiday Roast) Recipe";"False";"Slowly drizzle in stock while whisking constantly to make the gravy."
"70_24";"what is the one ingredient that I need to use to the mixture?";"water.";"Apart from other ingredients, you need to add water";"Meanwhile, for the Caramel: In a 3-quart stainless steel saucier, combine water and sugar over medium heat. Stir with a fork until syrup comes to a boil, about 4 minutes, then simmer without stirring until syrup is honey-colored, roughly 5 minutes, shaking and swirling as needed to ensure even caramelization. Continue cooking until syrup is light to medium amber, about 1 minute longer.";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"For the Caramel Mixture, you will need to use water as one of the ingredients."
"92_26";"what kind of can should I use to stand it on?";"tomatoes.";"Please place the pan on a tomatoes can or a similarly sized object.";"Unmolding the Cheesecake From a Loose Bottom Cake Pan: Loosen the sides of the cheesecake from the pan with a thin knife or offset spatula. Place the pan on a large can of tomatoes or a similarly sized object; something tall enough to lift the cheesecake 4-inches from the counter, and wide enough to form a stable base. With both hands on the sides of the pan, pull downward to drop the outer ring away from the bottom. Place the cake onto a flat work surface, loosen it from the bottom of the pan with an offset spatula, and transfer to a large, flat serving plate. Cover with plastic and refrigerate until needed, up to 10 days.";"Epic New York Cheesecake From BraveTart Recipe";"False";"The best type of can to use for unmolding a cheesecake from a loose-bottom cake pan is a large can of tomatoes."
"55_2";"what should I use to mix the cornstarch flour baking powder and salt?";". whisk.";"It is recommended to use a whisk for mixing these ingredients.";"Heat oil in a wok to 350°F. Whisk together 1/2 cup cornstarch, flour, baking powder, and 1 teaspoon kosher salt. Add water and vodka and whisk until a smooth batter is formed, adding up to 2 tablespoons additional water if batter is too thick. It should have the consistency of thin paint and fall off of the whisk in thin ribbons that instantly disappear as they hit the surface of the batter in the bowl.";"Crispy Kung Pao Tofu Recipe";"False";"Whisk together the cornstarch, flour, baking powder, salt, water, and vodka until a thin, smooth batter is formed."
"48_11";"what do I have to make sure are all thawed?";"peas.";"Make sure the peas are thawed before serving.";"Add frozen peas and continue to toss and stir until peas are thawed and every grain of rice is separate. Serve immediately.";"Easy Fried Rice Recipe";"False";"I need to make sure that the peas are thawed before adding them to the dish and stirring."
"35_28";"what size bowls should I use?";"serving bowl.";"The exact size is not specified in the recipe, but it should be the size of a standard serving bowl.";"To Finish: Add reserved broiled chicken along with any juices in the sheet pan to sauce and stir until chicken is well incorporated and warmed through. Ladle chicken and sauce into serving bowl and drizzle with additional heavy cream. Serve immediately with rice alongside.";"Butter Chicken Recipe";"False";"You should use a serving bowl to ladle the chicken and sauce into."
"39_7";"what cut of chicken do I need to use?";"chicken thigh.";"Use the chicken thigh pieces.";"Add chicken thigh pieces to bowl and, using clean hands, toss with marinade until evenly coated. Transfer chicken to prepared baking sheet, arranging pieces in a single, even layer in the aluminum-foil boat.";"Butter Chicken Recipe";"False";"For this recipe, you will need to use chicken thighs."
"87_12";"where should I transfer this to?";"large bowl.";"Once seasoned, transfer it to a large bowl.";"Heat oil in the now-empty skillet over high heat until shimmering. Add shaved Brussels sprouts. Cook, tossing occasionally, until well-charred on most sides, about 10 minutes. Add remaining cup heavy cream and cook until reduced to a loose sauce-like consistency. Season to taste with salt and pepper and transfer to a large bowl.";"Creamy Brussels Sprout and Mushroom Lasagna Recipe";"False";"Transfer the Brussels sprouts and cream mixture to a large bowl."
"72_2";"what tool do I use to prick the chicken all over?";"fork.";"Use a fork to prick the chicken thighs.";"To Marinate the Chicken: Pat the chicken dry with paper towels. Using a sharp knife, score the top side of the chicken thighs 2 or 3 times, then prick all over with a fork. Place the chicken in a baking dish, ziptop bag, or a food-safe storage container with a lid.";"Yogurt- and Mint-Marinated Chicken Thighs With Pickled Nectarines Recipe";"False";"A fork should be used to prick the chicken all over."
"55_12";"what temperature should I heat the oil at?";"medium-high heat.";"Heat the oil over medium-high heat until shimmering.";"Set a fine mesh strainer over a heatproof bowl or saucepan. Return 1/4 cup of the reserved oil to wok and heat over medium-high heat until shimmering. Add remaining half of peppercorns and chilies and cook, stirring, for 5 seconds. Immediately drain through fine mesh strainer. Pick out chilies and set aside. Discard cooked peppercorns";"Crispy Kung Pao Tofu Recipe";"False";"Heat the oil over medium-high heat."
"78_10";"what do I use to transfer the pasta?";"tongs.";"Use tongs to transfer pasta to tomato mixture";"Using tongs, transfer pasta to tomato mixture along with an additional 1/4 cup (60ml) pasta cooking water. Vigorously toss and stir pasta to emulsify sauce and coat noodles. Add half of the breadcrumbs and toss to combine. The pasta should be well coated with creamy, emulsified sauce. If it seems dry, add extra pasta water and olive oil, 1 tablespoon (15ml) at a time, until it reaches the desired consistency. Taste for seasoning.";"Sicilian-Style Spaghetti Alla Carrettiera (Fresh Tomato and Garlic Sauce) Recipe";"False";"Use tongs to transfer the pasta to the tomato mixture, stirring and tossing vigorously to coat the noodles with the creamy, emulsified sauce. If the pasta seems dry, add extra pasta water and olive oil, 1 tablespoon (15ml) at a time, until it reaches the desired consistency. Taste for seasoning."
"45_7";"where should I put the cool brussel sprouts?";"bowl.";"Add the brussel sprouts to a bowl with dressing.";"Once Brussels sprouts have cooled, add to bowl with dressing, along with leeks and Dijon. Using clean hands, scrunch, mix, and massage together until vegetables are evenly coated with dressing and slightly softened, about 30 seconds.";"Charred Brussels Sprouts and Leek Muchim With Coffee-Dijon Dressing Recipe";"False";"Once cooled, add the Brussels sprouts to a bowl with the dressing, leeks, and Dijon. Mix and massage together with clean hands until the vegetables are coated with the dressing and slightly softened, about 30 seconds."
"61_6";"what liquid should I use?";"water.";"If the soup becomes too thick and dry, add water, 1/2 cup at a time.";"Add bread, stir well, and simmer until bread is very soft and breaking down, about 15 minutes. Add water, 1/2 cup at a time, if soup becomes too thick and dry.";"Tuscan Ribollita With Summer Vegetables Recipe";"False";"Add water, 1/2 cup at a time, if soup becomes too thick and dry."
"69_7";"how long should I do this for?";"about 6 minutes.";"Do this for about 6 minutes. The vegetables should have released their liquid and begin to brown lightly on the bottom of the pan.";"In a 3-quart saucepan, heat oil over medium-high heat until shimmering. Add garlic, onion, red pepper, and scraped rehydrated chili flesh (if using), season lightly with salt, and cook, stirring, until vegetables have released their liquid and are beginning to brown lightly on the bottom of the pan, about 6 minutes.";"Stovetop Paella Mixta for Two With Chicken and Shrimp Recipe";"False";"Cook the vegetables in oil until they have released their liquid and are beginning to lightly brown, for approximately 6 minutes."
"70_22";"how long do I need to bake this for?";"65 to 75 minutes.";"Bake the cake until top is golden brown for 65 to 75 minutes.";"Set loaf pan on middle rack of oven and slide a rimmed baking sheet on the rack underneath to catch any drips. Bake until top is golden brown and domed and a cake tester or toothpick inserted into the center meets little resistance and comes out clean, 65 to 75 minutes; rotate pan one time halfway through baking. Transfer cake to wire rack and cool for 10 minutes; loosen sides with butter knife or offset spatula. Cool cake in pan to about 140°F (60°C), about 2 hours. Then lift loaf using overhanging parchment and transfer to a cutting board. Let cake cool completely before slicing, about 1 hour longer.";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"Bake for 65 to 75 minutes, rotating the pan halfway through, and then cool for 10 minutes before transferring to a wire rack. Let cool completely before slicing, about 3 hours."
"23_6";"what do I add after the mustard on cheese?";"eggs.";"After mustard and cheese are combined, you need to add eggs one at a time.";"To Finish by Hand: Remove pot from heat. Add mustard and cheese and beat with wooden spoon until homogenous. Add eggs one at a time, beating vigorously with each addition to prevent eggs from curdling and allowing dough to fully incorporate egg before adding the next one. When final egg has been added, add herbs and beat to combine. Transfer mixture to a gallon-sized zipper-lock bag or a pastry bag fitted with a 1/2-inch tip.";"Parisian Gnocchi Recipe";"False";"After adding the mustard and cheese, beat the mixture with a wooden spoon until homogenous. Then add eggs one at a time, beating vigorously with each addition to prevent the eggs from curdling and to allow the dough to fully incorporate before adding the next one. Finally, add herbs and beat to combine."
"41_12";"what is the optional ingredient I add to the cauliflower, water, raisins, pine nuts and saffron?";"fennel.";"If you have some, you can add fennel pollen to the skillet.";"Add cauliflower to skillet along with 1 cup (240ml) reserved cooking water, raisins, pine nuts, saffron, and fennel pollen (if using). Season lightly with salt, bring to a rapid simmer over medium-high heat, and cook, stirring and breaking up cauliflower with a wooden spoon, until florets break down to form a thick, yellow-tinged sauce (thanks to the saffron), 8 to 10 minutes. Add more cooking water in 1/4-cup (60ml) increments as needed to ensure there is enough liquid in the pan to coax cauliflower into breaking down into a saucy consistency.";"Pasta chi Vruoccoli Arriminati (Sicilian Pasta With Cauliflower and Toasted Breadcrumbs) Recipe";"False";"Add fennel pollen to the skillet with the cauliflower, water, raisins, pine nuts and saffron when preparing the dish."
"0_10";"what should I transfer the cooked peanuts to?";"bowl.";"Transfer the cooked peanuts to a bowl.";"Meanwhile, combine peanuts and remaining tablespoon oil in a medium skillet set over medium heat. Cook, tossing and stirring frequently, until peanuts are a deep golden brown, about 8 minutes. Immediately transfer to a bowl to prevent scorching.";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"False";"You should transfer the cooked peanuts to a bowl."
"23_2";"what do I put the hot dough into?";"stand mixer.";"Transfer the hot dough to the bowl of a stand mixer with a paddle attachment.";"To Finish with Stand Mixer: Transfer hot dough to the bowl of a stand mixer fitted with a paddle attachment. Add mustard and cheese and beat on medium-low speed. Add eggs one at a time, allowing dough to fully incorporate egg before adding the next one. When final egg has been added, add herbs and beat to combine. Transfer mixture to a gallon-sized zipper-lock bag or a pastry bag fitted with a 1/2-inch tip. Proceed to Step 4.";"Parisian Gnocchi Recipe";"False";"Transfer the hot dough to a stand mixer fitted with a paddle attachment, then add the mustard and cheese and beat on medium-low speed. Next, add the eggs one at a time, allowing the dough to incorporate each egg before adding the next. Finally, add the herbs and beat to combine."
"42_7";"what am I putting the herbs and scallions into?";"small bowl.";"Put them in a small bowl.";"Remove bulgur mixture from refrigerator. Set a colander or fine-mesh strainer in a large bowl. Add tomatoes to prepared colander, season with 1/2 teaspoon salt, and toss to combine. Set tomatoes aside and allow to drain for 20 minutes. Place mixed herbs and scallions in a small bowl and toss to combine.";"Eetch (Armenian Bulgur, Tomato, and Herb Salad)";"False";"Place mixed herbs and scallions in a small bowl."
"25_3";"how much sugar do I need to include I am not very clear?";"1 teaspoon.";"You need to add 1 teaspoon sugar to the mixture.";"To make the dressing: Whisk together lime juice, fish sauce, sesame oil, sugar, and chili in a small bowl. Set aside.";"Thai Spicy Duck Salad Recipe";"True";"To make the dressing, combine lime juice, fish sauce, sesame oil, 1 teaspoon of sugar, and chili in a small bowl and whisk together."
"48_12";"what has to be separate before I serve it?";"rice.";"Every grain of rice should be separate before serving.";"Add frozen peas and continue to toss and stir until peas are thawed and every grain of rice is separate. Serve immediately.";"Easy Fried Rice Recipe";"False";"The rice needs to be separated before it is served."
"4_4";"what type of cream do I need?";"cream cheese.";"You do not need cream but cream cheese.";"In a large bowl, cream together the cream cheese, butter, and shortening with an electric mixer on medium-high speed until light and fluffy, about 5 minutes. In a smaller bowl, combine the flour, baking powder, and salt. Add the flour mixture to the creamed mixture and mix on low speed until blended - it will be very thick.";"Philly Fluff Cake Recipe";"False";"You need cream cheese to cream together with butter and shortening in a large bowl to make a light and fluffy mixture."
"75_12";"is 165 degrees Fahrenheit the maximum temperature?";"yes.";"Exactly. The center of the burger should not be hotter than 165°F.";"Light one chimney full of charcoal. When all the charcoal is lit and covered with gray ash, pour out and spread the coals evenly over entire surface of charcoal grate. Set cooking grate in place, cover grill and allow to preheat for 5 minutes. Clean and oil the grilling grate. Grill burgers over direct heat until an instant read thermometer reads at least 145°F in the center of burger, but no more than 165°F.";"Thanksgiving Turkey Burgers Recipe";"False";"Yes, 165°F is the maximum temperature for grilling burgers."
"70_11";"Alexa what must I put the ingredients inside?";"bowl.";"Put all ingredients in the bowl.";"In the bowl of a stand mixer fitted with a whisk attachment, whisk eggs and sugar at medium speed until pale and glossy, 60 to 90 seconds. (Alternatively, beat eggs and sugar in a large mixing bowl using an electric handheld mixer or a whisk, about 90 seconds for the electric mixer and 2 minutes for the whisk.)";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"In a bowl, whisk together eggs and sugar until pale and glossy with a stand mixer, electric handheld mixer, or whisk."
"5_13";"Alexa what should be swirled gently?";"egg.";"You shoudl swirl the egg very gently.";"Carefully break 1 egg into a small bowl and slide into a fine mesh strainer over the sink. Swirl egg very gently until excess loose white drains away. Carefully add to one of the cavities in the skillet. Repeat with remaining three eggs.";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"False";"Carefully break 1 egg into a small bowl and slide it into a fine mesh strainer over the sink. Gently swirl the egg until any excess loose whites drain away, then carefully add it to one of the cavities in the skillet. Repeat for the remaining three eggs."
"7_8";"what do I add to the Walnut, the sugar and the salt?";"flour.";"Add flour and stir these ingredients together.";"For the Filling: In a medium bowl, stir together walnuts, flour, sugar, and salt. Add butter and vanilla extract and, using a rubber spatula, stir until clumpy paste forms and no dry flour remains, about 30 seconds. Cover and store at room temperature until ready to assemble.";"Gata (Armenian Coffee Cake)";"False";"You need to add flour to the walnut, sugar and salt to make the filling."
"34_6";"what do I discard the sage sprigs from?";"large squash.";"From large squash chunks.";"Bake both trays of squash, stirring once or twice during baking, until large chunks are very tender, about 45 minutes, and small diced squash is browned in spots, about 30 minutes. Discard sage sprigs from large squash chunks.";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"Discard the sage sprigs from the large squash chunks."
"36_13";"how long do I need to cook the spaghetti?";"about 1 minute less than indicated on the package.";"The spaghetti should be cooked about 1 minute less than indicated on the package.";"In a pot of salted, boiling water, cook spaghetti, stirring frequently, until just shy of al dente, about 1 minute less than package recommends. While spaghetti is cooking, flake tuna into pasta sauce.";"Roman-Style Spaghetti Alla Carrettiera (Tomato, Tuna, and Mushroom Pasta) Recipe";"False";"To cook the spaghetti, boil it in salted water for approximately 1 minute less than the time recommended on the package."
"38_1";"what am I preheating the oven to?";"to 400°f.";"Preheat the oven to 400°F (200°C).";"Preheat oven to 400°F (200°C). Cut about half the squash into 1-inch chunks, to yield 4 cups. Cut remaining squash into 1/4-inch dice. In a large mixing bowl, toss large squash chunks with 2 tablespoons (30ml) olive oil, garlic, apple, red pepper flakes, sage sprigs, and a large pinch of salt until evenly coated, then spread in an even layer on a rimmed baking sheet. In a separate bowl, toss small diced squash with 2 tablespoons (30ml) olive oil, maple syrup, and a pinch of salt, then spread in an even layer on a second rimmed baking sheet.";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"Preheat oven to 400°F (200°C)."
"76_9";"what do I need to thinly slice?";"duck.";"You need to thinly slice the duck.";"Thinly slice duck, halving any long strips into bite-size pieces. Add duck into bowl with pineapple mixture. Pour on dressing and toss to combine. Transfer to plates and serve immediately.";"Thai Spicy Duck Salad Recipe";"False";"To thinly slice duck, halve any long strips into bite-size pieces and add them to a bowl with a pineapple mixture. Pour on dressing and toss to combine. Serve the dish immediately on individual plates."
"81_2";"how do I spread ricotta?";"rubber spatula.";"The ricotta should be spread with a rubber spatula.";"For the gnudi: Line a large plate with three layers of paper towels or a clean dish towel. Transfer ricotta directly to paper towels and spread with a rubber spatula. Place another triple layer of paper towels or a clean dish towel on top and press down firmly with the palms of your hands to blot excess moisture. Peel off upper paper towels.";"Ricotta and Black Pepper Gnudi With Sage and Brown Butter Recipe";"False";"To spread ricotta, use a rubber spatula."
"0_13";"what should I use to make the rest of the paste?";"peanuts.";"The paste is made of peanuts.";"Transfer 1/2 cup of peanuts to a cutting board and roughly chop. Reserve for garnish. Transfer half of the remaining peanuts to the now-empty mortar and pestle. Sprinkle with 1 teaspoon sugar and a pinch of salt. Pound to form a rough paste, then transfer to pot of soup. Repeat with the other half of the remaining peanuts.";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"False";"Pound the remaining peanuts with 1 teaspoon of sugar and a pinch of salt in a mortar and pestle to form a rough paste, then add it to the pot of soup."
"20_15";"what am I removing from the pot?";"carrots.";"You should remove carrots, celery, parsley, bay leaves, and cloves from the pot. Make sure to use tongs.";"Using tongs, remove carrots, celery, parsley, bay leaves, and cloves and discard. Add meats to pot and stir to incorporate, making sure that the chicken pieces end up on top of the beans with the skin facing upwards. Beans should be almost completely submerged. Transfer to oven and cook, uncovered, until a thin crust forms on top, about 2 hours, adding more water by pouring it carefully down the side of the pot, as necessary, to keep beans mostly covered.";"Traditional French Cassoulet Recipe";"False";"Using tongs, discard the carrots, celery, parsley, bay leaves, and cloves, and add the meats to the pot, stirring to incorporate."
"29_1";"what do I need to heat the vegetable oil in?";"wok.";"Heat the vegetable oil in a wok over high heat.";"If using day-old rice (see note), transfer to a medium bowl and break the rice up with your hands into individual grains before proceeding. Heat 1/2 tablespoon (7ml) vegetable oil in a wok over high heat until smoking. Add half of rice and cook, stirring and tossing, until the rice is pale brown and toasted and has a lightly chewy texture, about 3 minutes. Transfer to a medium bowl. Repeat with another 1/2 tablespoon oil and remaining rice.";"Easy Fried Rice Recipe";"False";"You will need to use a wok to heat the 1/2 tablespoon of vegetable oil before adding the rice."
